date,location,subject_statuses,subject_weapon,subject_race,subject_gender,latitude,longitude,month,season,officer_count_cat,street
2010-10-29,3810 Bonnie View Road,Deceased,Unarmed,Black,M,32.71273,-96.775044,10,autumn,alone, Bonnie View Road
2014-02-19,4200 Elmira Street,Injured,Handgun,Latin,M,32.7776,-96.713337,2,winter,alone, Elmira Street
2008-04-18,6271 Highland Hills Drive,Deceased,Handgun,Black,M,32.67107,-96.760765,4,spring,alone, Highland Hills Drive
2007-06-20,5820 Martel Avenue #223,Injured,Handgun,Latin,M,32.83132,-96.7672,6,summer,alone, Martel Avenue #
2015-02-09,7400 Bonnie View Road,Deceased,Vehicle,Black,M,32.65671,-96.750342,2,winter,alone, Bonnie View Road
2014-01-02,2728 McKinnon Street,Deceased,Handgun,White,M,32.794,-96.80728,1,winter,more than 3, McKinnon Street
2016-08-25,414 N Kramer,Deceased,Handgun,Latin,M,32.74863,-96.878279,8,summer,alone, N Kramer
2004-03-27,4515 Village Fair Drive,Injured,Handgun,Black,M,32.69084,-96.829549,3,spring,2 to 3, Village Fair Drive
2013-05-31,3600 Bolivar Drive,Shoot and Miss,Handgun,Latin,M,32.86524,-96.858268,5,spring,alone, Bolivar Drive
2014-12-16,6185 Retail Road,Injured,Knife,White,M,32.86166,-96.754391,12,winter,alone, Retail Road
2003-08-27,7340 Skillman Street,Shoot and Miss,Unarmed,Black,M,32.88191,-96.73456,8,summer,alone, Skillman Street
2014-06-26,3000 Lantana Lane,Deceased,Handgun,Black,M,32.69553,-96.764151,6,summer,2 to 3, Lantana Lane
2010-12-17,7175 Wild Briar Lane,Shoot and Miss,Handgun,White,F,32.83099,-96.73654,12,winter,alone, Wild Briar Lane
2010-06-15,2015 Ferndale Street,Shoot and Miss,Shotgun/Rifle,Black,M,32.72506,-96.853141,6,summer,alone, Ferndale Street
2012-02-13,1180 N. St. Augustine Road,Deceased,Handgun,Black,M,32.73234,-96.656941,2,winter,2 to 3, N. St. Augustine Road
2003-11-20,6300 C.F. Hawn Freeway,Shoot and Miss,Handgun,Latin,M,32.73369,-96.712453,11,autumn,alone, C.F. Hawn Freeway
2006-09-19,4843 Haas Drive,Shoot and Miss,Unarmed,Black,M,32.7,-96.765671,9,autumn,alone, Haas Drive
2014-08-27,13739 N. Central Expressway,Deceased,Handgun,Latin,M,32.93578,-96.75182,8,summer,alone, N. Central Expressway
2010-11-28,1170 N. Prairie Creek Road,Shoot and Miss,Shotgun/Rifle,Black,M,32.73263,-96.665575,11,autumn,alone, N. Prairie Creek Road
2004-05-30,900 Bayonne Street,Shoot and Miss,Unarmed,Black,M,32.77573,-96.836997,5,spring,alone, Bayonne Street
2013-04-06,534 Sunset Avenue,Shoot and Miss,Vehicle,Latin,M,32.74415,-96.831751,4,spring,alone, Sunset Avenue
2009-12-27,10008 Mesita Drive,Deceased,Handgun,Black,M,32.73905,-96.651634,12,winter,more than 3, Mesita Drive
2012-05-26,3373 Lombardy Lane,Shoot and Miss,Vehicle,Black,M,32.86645,-96.86715,5,spring,alone, Lombardy Lane
2010-02-07,2000 Pacific Avenue,Shoot and Miss,Vehicle,Latin,M,32.78327,-96.794339,2,winter,2 to 3, Pacific Avenue
2012-11-25,8400 Forney Road,Shoot and Miss,Unarmed,Black,M,32.77789,-96.675429,11,autumn,alone, Forney Road
2014-08-10,400 S. Rosemont Avenue,Deceased,Unarmed,White,M,32.74169,-96.847878,8,summer,alone, S. Rosemont Avenue
2011-12-05,400 S. Houston Street,Deceased,Handgun,White,M,32.77667,-96.807184,12,winter,2 to 3, S. Houston Street
2005-12-25,9850 Whitehurst Drive,Shoot and Miss,Shotgun/Rifle,Black,M,32.89994,-96.724719,12,winter,alone, Whitehurst Drive
2006-02-27,10200 Walton Walker Boulevard,Shoot and Miss,Unarmed,Asian,M,32.86314,-96.900299,2,winter,alone, Walton Walker Boulevard
2009-09-21,2120 52nd Steet,Deceased,Shotgun/Rifle,Black,M,32.69,-96.790112,9,autumn,2 to 3, 52nd Steet
2010-11-16,8059 L.B.J. Freeway,Injured,Toy/Air gun,Black,M,32.92488,-96.76765,11,autumn,2 to 3, L.B.J. Freeway
